id,name,region,lat,lng,category,duration_min,season_tags,mood_tags,highlight_hint,rating,pet_friendly
1,정동진,강원 강릉,37.6903,129.0325,뷰포인트,40,사계절,경치;힐링,모래시계공원과 동해 일출로 유명한 바닷가 언덕,4.5,Y
2,안반데기,강원 강릉,37.6222,128.7589,뷰포인트,50,여름;가을,경치;힐링,고랭지 배추밭이 만드는 초록 물결과 은하수 명소,4.6,Y
3,남이섬,강원 춘천,37.7904,127.5262,명소,90,사계절,경치;힐링;드라이브,메타세쿼이아길과 자작나무숲이 있는 강 위의 섬,4.4,Y
4,아침고요수목원,경기 가평,37.7908,127.3452,명소,80,사계절,경치;힐링,계절 꽃과 오색 정원이 펼쳐지는 수목원,4.6,Y
5,남해다랭이마을,경남 남해,34.7167,127.8814,뷰포인트,40,봄;가을,경치;힐링,층층이 이어진 다랭이논과 남해 바다 전망,4.5,Y
6,향일암,전남 여수,34.4744,127.7469,명소,45,사계절,경치;힐링,해안 절벽 위 사찰에서 보는 일출 명당,4.4,N
7,담양메타세쿼이아길,전남 담양,35.3217,126.9880,뷰포인트,35,봄;여름;가을,드라이브;경치,하늘을 가리는 메타세쿼이아 가로수 드라이브길,4.5,Y
8,태안신두리해안사구,충남 태안,36.8264,126.1919,명소,40,사계절,경치;힐링,국내 최대 해안사구와 노을 명소,4.3,Y
9,안면도꽃지해수욕장,충남 태안,36.5533,126.3169,뷰포인트,35,사계절,경치;드라이브,할미할아비바위 낙조로 유명한 해변,4.4,Y
10,통영해안도로,경남 통영,34.8544,128.4331,뷰포인트,30,사계절,드라이브;경치,미륵도를 감싸는 굽이굽이 해안 드라이브길,4.5,Y
11,거제바람의언덕,경남 거제,34.7594,128.5911,뷰포인트,40,사계절,경치;힐링,풍차와 초원이 어우러진 해안 절경,4.6,Y
12,부산달맞이길,부산 해운대,35.1587,129.1936,뷰포인트,45,사계절,드라이브;맛집,해안절벽을 따라 이어지는 카페거리 드라이브길,4.4,Y
13,경주보문호벚꽃길,경북 경주,35.8434,129.2733,뷰포인트,35,봄,경치;드라이브,호수를 두른 벚꽃길 드라이브 코스,4.3,Y
14,포항호미곶,경북 포항,36.0761,129.5683,명소,40,사계절,경치;힐링,상생의 손 조형물이 있는 동해 일출 명소,4.5,Y
15,울진해안도로,경북 울진,36.9928,129.4056,뷰포인트,30,사계절,드라이브;경치,푸른 동해를 끼고 달리는 해안 국도,4.3,Y
16,강릉안목커피거리,강원 강릉,37.7749,128.9472,카페,50,사계절,맛집;힐링,바다를 보며 커피를 즐기는 해변 카페거리,4.4,Y
17,속초아바이마을,강원 속초,38.1975,128.5969,맛집,50,사계절,맛집;드라이브,아바이순대와 갯배로 유명한 항구 마을,4.3,N
18,양양죽도해변,강원 양양,38.0817,128.6386,뷰포인트,40,여름,경치;드라이브,서핑 명소로 유명한 해변과 감성 카페,4.4,Y
19,인제자작나무숲,강원 인제,38.0764,128.3733,명소,70,가을;겨울,경치;힐링,새하얀 자작나무가 빼곡한 원대리 숲길,4.7,Y
20,정선산악드라이브길,강원 정선,37.3808,128.8253,뷰포인트,30,가을,드라이브;경치,강원도 산세를 굽이도는 고갯길 드라이브,4.2,Y
21,단양도담삼봉,충북 단양,36.9928,128.3653,뷰포인트,30,사계절,경치;드라이브,강 위에 솟은 세 봉우리를 감상하는 명소,4.4,Y
22,제천청풍호벚꽃길,충북 제천,37.0167,128.1517,뷰포인트,35,봄;가을,드라이브;경치,청풍호를 따라 이어지는 호숫가 드라이브길,4.3,Y
23,보성녹차밭,전남 보성,34.7719,127.0797,명소,45,봄;여름,경치;힐링,초록 물결이 층층이 펼쳐지는 다랭이 녹차밭,4.5,Y
24,순천만습지,전남 순천,34.8825,127.5231,명소,60,가을;겨울,경치;힐링,갈대밭과 노을이 아름다운 생태 습지,4.6,Y
25,군산은파호수공원,전북 군산,35.9558,126.7239,뷰포인트,35,사계절,경치;힐링,호수 위 조명이 밤에 더 아름다운 산책 명소,4.2,Y
26,전주한옥마을맛집거리,전북 전주,35.8153,127.1531,맛집,70,사계절,맛집;드라이브,전주비빔밥과 한옥거리를 함께 즐기는 코스,4.6,N
27,무주구천동계곡길,전북 무주,35.8494,127.7256,뷰포인트,35,여름;가을,드라이브;경치,계곡을 따라 달리는 시원한 산길 드라이브,4.4,Y
28,함양힐링카페,경남 함양,35.5203,127.7256,카페,45,사계절,힐링;맛집,지리산 자락에 자리한 조용한 산속 카페,4.5,Y
29,진주진양호,경남 진주,35.1450,128.0219,뷰포인트,30,사계절,드라이브;경치,호수를 끼고 도는 평화로운 드라이브 코스,4.1,Y
30,제주애월한담해안,제주 애월,33.4614,126.3092,뷰포인트,40,사계절,경치;드라이브,에메랄드빛 바다를 따라가는 해안 산책로,4.6,Y
31,제주성산일출봉,제주 서귀포,33.4587,126.9425,명소,50,사계절,경치;힐링,유네스코에 등재된 제주 대표 일출 명소,4.8,N
32,제주사려니숲길,제주 제주,33.4106,126.6539,명소,60,사계절,힐링,삼나무 숲이 우거진 고요한 치유의 숲길,4.7,Y
33,인천을왕리해수욕장,인천 중구,37.4478,126.3733,뷰포인트,40,사계절,경치;드라이브,공항 근처 낙조 명소이자 해변 카페거리,4.3,Y
34,강화석모도해안도로,인천 강화,37.6725,126.3242,뷰포인트,35,사계절,드라이브;경치,섬을 한 바퀴 도는 노을 해안 드라이브길,4.3,Y
35,양평두물머리,경기 양평,37.5378,127.3183,뷰포인트,30,사계절,경치;힐링,두 강이 만나는 물안개와 노을 명소,4.5,Y
36,가평자라섬,경기 가평,37.8256,127.5236,명소,45,사계절,드라이브;힐링,강변을 따라 펼쳐진 캠핑과 산책의 섬,4.4,Y
37,파주임진각평화누리,경기 파주,37.8894,126.7392,명소,50,사계절,힐링;경치,넓은 잔디 언덕과 대형 바람개비가 있는 공원,4.3,Y
38,여주남한강카페,경기 여주,37.2983,127.6378,카페,45,사계절,맛집;힐링,남한강을 내려다보는 통창 뷰 카페,4.4,Y
39,대전계족산황톳길,대전 대덕,36.3986,127.4972,명소,55,사계절,힐링,맨발로 걷는 황톳길 숲산책 명소,4.5,Y
40,대구앞산전망대,대구 남구,35.8256,128.5731,뷰포인트,30,사계절,경치;힐링,대구 시내 야경을 한눈에 담는 전망대,4.2,Y
41,수원행궁동맛집거리,경기 수원,37.2789,127.0145,맛집,60,사계절,맛집,행궁 앞 골목의 다양한 맛집이 모인 거리,4.4,N
42,대구동성로맛집,대구 중구,35.8695,128.5946,맛집,55,사계절,맛집,동성로 번화가의 유명 맛집들,4.3,N
43,광주송정떡갈비거리,광주 광산,35.1379,126.7930,맛집,50,사계절,맛집,송정역 근처 떡갈비 맛집 골목,4.5,N
44,울산태화강카페,울산 중구,35.5497,129.2905,카페,40,사계절,맛집;힐링,태화강 국가정원 뷰 카페,4.4,Y
45,청주상당산성맛집,충북 청주,36.6587,127.5165,맛집,50,사계절,맛집;드라이브,산성 아래 오리백숙 맛집촌,4.3,Y
46,천안입장포도마을카페,충남 천안,36.9210,127.2778,카페,40,봄;여름;가을,맛집;힐링,포도밭 사이 감성 카페,4.2,Y
47,인천송도센트럴파크카페,인천 연수,37.3894,126.6432,카페,40,사계절,맛집;드라이브,수변공원을 낀 대형 카페,4.3,Y
48,춘천닭갈비골목,강원 춘천,37.8721,127.7359,맛집,50,사계절,맛집,춘천 명물 닭갈비 골목,4.4,N
49,군산해망로맛집거리,전북 군산,35.9645,126.7014,맛집,45,사계절,맛집,해망로를 따라 이어진 노포 맛집거리,4.3,N
50,대전유성온천맛집거리,대전 유성,36.3585,127.3411,맛집,50,사계절,맛집,유성온천역 인근 맛집·먹자골목,4.2,N
51,부산서면맛집골목,부산 부산진,35.1579,129.0594,맛집,50,사계절,맛집,서면 번화가의 다양한 맛집 골목,4.3,N
52,양평애견동반레스토랑,경기 양평,37.4900,127.4900,맛집,60,사계절,맛집;힐링,넓은 잔디마당에서 반려견과 함께 식사하는 레스토랑,4.5,Y
53,강릉애견동반브런치카페,강원 강릉,37.7500,128.8800,카페,55,사계절,맛집;힐링,야외 데크석이 넓어 반려견 동반하기 좋은 브런치 카페,4.4,Y
54,제주애견동반카페,제주 제주,33.4500,126.5600,카페,45,사계절,맛집;힐링,잔디마당과 놀이터가 있는 반려견 동반 카페,4.6,Y
